nome_consel,entidade_sigla,categoria1,categoria2
jọo da silva mota,PMPP,Gesṭo P̼blica,Poder P̼blico
joao heriberto meneses de lima,CEPENE,Gesṭo P̼blica,Poder P̼blico
jọo mota da silva,PMPP,Gesṭo P̼blica,Poder P̼blico
jos̩ amaro dos sanros,ABEVILA,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
jos̩ carlos gomes borges,FMA,ONGs Ambientalistas,Sociedade Civil
jos̩ cl��udio damaso cavalcante,ARIBAMA,Atividade Tur�_stica,Sociedade Civil
jos̩ heriberto meneses de lima,CEPENE,Gesṭo P̼blica,Poder P̼blico
jos̩ ismar lima de carvalho,APB,Atividade Tur�_stica,Sociedade Civil
jos̩ maciel dos santos,UNIMOP,Atividade Tur�_stica,Sociedade Civil
jos̩ marques da costa filho,Z-11,Atividade Pesqueira,Sociedade Civil
jos̩ reginaldo da silva,ARIBAMA/AJCSMM,Atividade Tur�_stica,Sociedade Civil
jos̩ ulisses dos santos,CMA,Gesṭo P̼blica,Poder P̼blico
jos̩ veloso da silva,AMITUS,Atividade Tur�_stica,Sociedade Civil
juliana dias viana silva,SPU/AL,Gesṭo P̼blica,Poder P̼blico
juliano mauricio fritscher,IBVM,ONGs Ambientalistas,Sociedade Civil
jurandir dias de ara̼jo,ISSLNM,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
juvenita lucena de albuquerque,FUNDAJ,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
karine matos magalḥes,UFRPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
kennia de c��ssia ara̼jo galdino,MOVIDA,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
laurineide maria vieira de carvalho,CPP,Atividade Pesqueira,Sociedade Civil
leivan souza pinto,MPA/AL,Gesṭo P̼blica,Poder P̼blico
leonardo tortorielo messias,CEPENE/ICMBIO,Gesṭo P̼blica,Poder P̼blico
ligia albuquerque de melo,FUNDAJ,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
l�_gia albuquerque de melo,FUNDAJ,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
lisanildo dos santos,SAP PMPC,Gesṭo P̼blica,Poder P̼blico
livya maria da silva calheiros,SEDETUR AL,Gesṭo P̼blica,Poder P̼blico
lucas silveira fran̤a de ara̼jo,PMSJCG,Gesṭo P̼blica,Poder P̼blico
luciana santos medeiros,BIOTA-AL,ONGs Ambientalistas,Sociedade Civil
luis claudio gon̤alves de melo,AHMAJA,Atividade Tur�_stica,Sociedade Civil
luiz claudio gon̤alves de melo,AHMAJA,Atividade Tur�_stica,Sociedade Civil
luiz ot��vio de ara̼jo corr̻a,IBAMA/PE,Gesṭo P̼blica,Poder P̼blico
manoel alexandre pedrosa,IRCOS,ONGs Ambientalistas,Sociedade Civil
manuela de almeida rocha kaspary,IFAL,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
marcelo bastos fran̤oso,ICMBIO,Gesṭo P̼blica,Poder P̼blico
"marcelo marques da costa,ABIH AL,""Agricultura, Ind̼stria e Com̩rcio"",Sociedade Civil"
marcelo ribeiro,SEMARH,Gesṭo P̼blica,Poder P̼blico
marcos pradines,SETUR AL,Gesṭo P̼blica,Poder P̼blico
marcus vinicius bezerra,PPGSHMA/UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
margarida maria jaques,Z-5,Atividade Pesqueira,Sociedade Civil
maria da penha lima de vasconcelos,PMSMM,Gesṭo P̼blica,Poder P̼blico
maria de f��tima da silva dos santos,PMTAM,Gesṭo P̼blica,Poder P̼blico
maria jos̩ pereira dos santos,CM JAPARATINGA,Gesṭo P̼blica,Poder P̼blico
maria marta da silva,ARIBAMA,Atividade Tur�_stica,Sociedade Civil
"maria tereza domingues bandeira,ABIH AL,""Agricultura, Ind̼stria e Com̩rcio"",Sociedade Civil"
mariana goresten,PMPAR/PM MARAGOGI,Gesṭo P̼blica,Poder P̼blico
m��rio calheiros de lima,UNIPROPOLIS,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
mateus gonzales,SEMARH,Gesṭo P̼blica,Poder P̼blico
"mauro jos̩ luna vasconcelos,ABIH AL/ABAY,""Agricultura, Ind̼stria e Com̩rcio"",Sociedade Civil"
mauro maida,UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
merly sherly bezerra,SEDETUR AL,Gesṭo P̼blica,Poder P̼blico
monica dorigo correa,UFAL,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
m̫nica sueli coelho ara̼jo da silva,ATCA,Atividade Tur�_stica,Sociedade Civil
murilo loureiro silva sobrinho,AOMM/APCM,Atividade Tur�_stica,Sociedade Civil
napolẹo danubio franco rodrigues,APCM,Atividade Tur�_stica,Sociedade Civil
nelson sena filho,SEMA/PMSJCG,Gesṭo P̼blica,Poder P̼blico
paulo amaro da silva,Z-21,Atividade Pesqueira,Sociedade Civil
paulo braga gomes,PPGSHMA/UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
paulo roberto c̫rrea de souza junior,ICMBIO,Gesṭo P̼blica,Poder P̼blico
pedro augusto macedo lins,ICMBIO,Gesṭo P̼blica,Poder P̼blico
pedro gustavo dos santos barros,SPU/AL,Gesṭo P̼blica,Poder P̼blico
pedro henrique cipresso pereira,PPGSHMA/UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
pedro luiz da silva,Z-25,Atividade Pesqueira,Sociedade Civil
pedro normande,IMA,Gesṭo P̼blica,Poder P̼blico
rafael lustosa siqueira,YANDE,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
rafael tavares de lira,SPU/AL,Gesṭo P̼blica,Poder P̼blico
raphael dos santos batista,MOVIDA,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
ricardo c̩sar de barros oliveira,IMA,Gesṭo P̼blica,Poder P̼blico
ricardo fran̤a gomes ferreira,PMSJCG,Gesṭo P̼blica,Poder P̼blico
rivaldo couto dos santos junior,IBAMA/AL,Gesṭo P̼blica,Poder P̼blico
ronaldo galṿo de oliveira scurachio,IBVM,ONGs Ambientalistas,Sociedade Civil
ros̢ngela paula teixeira lessa,UFRPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
samanta della bella,CPRH,Gesṭo P̼blica,Poder P̼blico
sandra lopes villanova mendon̤a,SEDETUR AL,Gesṭo P̼blica,Poder P̼blico
sem indica̤̣o,SPU/PE,Gesṭo P̼blica,Poder P̼blico
s̩rgio magalḥes rezende,IRCOS,ONGs Ambientalistas,Sociedade Civil
severino antonio dos santos,CPP,Atividade Pesqueira,Sociedade Civil
severino barros dos santos,Z-5,Atividade Pesqueira,Sociedade Civil
severino ramos,Z-5,Atividade Pesqueira,Sociedade Civil
teodorico de almeida rocha,SPU/AL,Gesṭo P̼blica,Poder P̼blico
te�_filo carlos de albuquerque filho,ABEVILA,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
tereza cristina medeiros de ara̼jo,UFPE,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
tereza dantas,SETUR AL,Gesṭo P̼blica,Poder P̼blico
tertuliana fl��via cavalcante do r̻go,ATPB,Atividade Tur�_stica,Sociedade Civil
thereza christina luz dantas,SETUR AL,Gesṭo P̼blica,Poder P̼blico
tsachi greenhut,YANDE,Organiza̵̤es de educa̤̣o e cultura e associa̵̤es comunit��rias,Sociedade Civil
vanderley luis turatti,AFOTUR,Atividade Tur�_stica,Sociedade Civil
vandick da silva batista,UFAL,Institui̤̣o de Ensino e Pesquisa,Poder P̼blico
victo medeiros,SEMARH,Gesṭo P̼blica,Poder P̼blico
vinicius carlos freire,IBAMA/AL,Gesṭo P̼blica,Poder P̼blico
waldemar rolim lacerda junior,Z-11,Atividade Pesqueira,Sociedade Civil
